id,sonde_event_id,Date,Time,Temp,SpCond,DO
,5,2003-10-13,07:54:00,14.21,258,8.82
,5,2003-10-13,07:58:00,14.22,258,8.82
,5,2003-10-13,08:02:00,14.22,258,8.87
,5,2003-10-13,08:06:00,14.22,258,8.82
,5,2003-10-13,08:10:00,14.22,258,8.89
,5,2003-10-13,08:14:00,14.23,258,8.85
,5,2003-10-13,08:18:00,14.23,258,8.9
,5,2003-10-13,08:22:00,14.24,258,8.87
,5,2003-10-13,08:26:00,14.24,258,8.88
,5,2003-10-13,08:30:00,14.25,258,8.85
,5,2003-10-13,08:34:00,14.25,258,8.91
,5,2003-10-13,08:38:00,14.26,258,8.89
,5,2003-10-13,08:42:00,14.27,258,8.89
,5,2003-10-13,08:46:00,14.27,258,8.93
,5,2003-10-13,08:50:00,14.27,258,8.88
